data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 07:50:00,2025-09-01 08:00:00,470,IM2,security,70.15,10.12,3,실측 10분 85% 분위값,10,IM2,12,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 08:00:00,2025-09-01 08:10:00,480,IM1,security,142.15,32.3,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:00:00,2025-09-01 08:10:00,480,IM2,security,48.0,6.67,2,실측 10분 85% 분위값,10,IM2,8,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 08:10:00,2025-09-01 08:20:00,490,IM1,security,160.15,42.22,8,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:10:00,2025-09-01 08:20:00,490,IM2,security,57.3,7.99,3,실측 10분 85% 분위값,10,IM2,10,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 08:20:00,2025-09-01 08:30:00,500,IM1,security,136.45,29.64,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:20:00,2025-09-01 08:30:00,500,IM2,security,83.3,12.72,4,실측 10분 85% 분위값,10,IM2,14,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 08:30:00,2025-09-01 08:40:00,510,IM1,security,134.75,28.89,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:30:00,2025-09-01 08:40:00,510,IM2,security,64.15,9.08,3,실측 10분 85% 분위값,10,IM2,11,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 08:40:00,2025-09-01 08:50:00,520,IM1,security,133.0,28.13,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:40:00,2025-09-01 08:50:00,520,IM2,security,40.0,5.67,2,실측 10분 85% 분위값,10,IM2,7,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 08:50:00,2025-09-01 09:00:00,530,IM1,security,115.3,21.41,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 08:50:00,2025-09-01 09:00:00,530,IM2,security,37.15,5.33,2,실측 10분 85% 분위값,10,IM2,7,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:00:00,2025-09-01 09:10:00,540,IM1,security,117.3,22.09,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:00:00,2025-09-01 09:10:00,540,IM2,security,38.0,5.43,2,실측 10분 85% 분위값,10,IM2,7,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:10:00,2025-09-01 09:20:00,550,IM1,security,121.15,23.45,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:10:00,2025-09-01 09:20:00,550,IM2,security,35.0,5.09,2,실측 10분 85% 분위값,10,IM2,6,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:20:00,2025-09-01 09:30:00,560,IM1,security,128.3,26.18,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:20:00,2025-09-01 09:30:00,560,IM2,security,49.0,6.81,2,실측 10분 85% 분위값,10,IM2,9,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:30:00,2025-09-01 09:40:00,570,IM1,security,118.0,22.33,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:30:00,2025-09-01 09:40:00,570,IM2,security,33.15,4.89,2,실측 10분 85% 분위값,10,IM2,6,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:40:00,2025-09-01 09:50:00,580,IM1,security,117.0,21.98,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:40:00,2025-09-01 09:50:00,580,IM2,security,43.0,6.03,2,실측 10분 85% 분위값,10,IM2,8,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 09:50:00,2025-09-01 10:00:00,590,IM1,security,106.15,18.52,5,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 09:50:00,2025-09-01 10:00:00,590,IM2,security,43.0,6.03,2,실측 10분 85% 분위값,10,IM2,8,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 10:00:00,2025-09-01 10:10:00,600,IM1,security,101.15,17.09,5,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 10:00:00,2025-09-01 10:10:00,600,IM2,security,52.15,7.24,2,실측 10분 85% 분위값,10,IM2,9,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 10:10:00,2025-09-01 10:20:00,610,IM1,security,96.0,15.72,5,실측 10분 85% 분위값,10,IM1,16,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 10:10:00,2025-09-01 10:20:00,610,IM2,security,54.15,7.53,3,실측 10분 85% 분위값,10,IM2,10,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 10:20:00,2025-09-01 10:30:00,620,IM1,security,88.0,13.77,4,실측 10분 85% 분위값,10,IM1,15,15,2단계 확대 운영(15대),IM1 보안검색대 15대 개방 권장
